,title_year,budget,gross,imdb_score,duration,facenumber_in_poster,num_critic_for_reviews,num_user_for_reviews,num_voted_users,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes
title_year,1.0,0.047138407719753896,0.05480795298930031,-0.1349818302768595,-0.13021086918197813,0.07009304689925594,0.4202024703991046,0.019469639076853614,0.023687119068229914,-0.04465561976122338,0.09619443265710623,0.12240994219702184,0.11747544306432409,0.12704474028600599,0.3069874429480317
budget,0.047138407719753896,1.0,0.09949642327024535,0.029189722454642256,0.06801229254388517,-0.021673125630156005,0.104716621168954,0.07037191920103218,0.0659267073480547,0.018166908098440637,0.01641837423766778,0.035715018286868586,0.03996639811180655,0.028681516768225036,0.05249012260890193
gross,0.05480795298930031,0.09949642327024535,1.0,0.21473971217602258,0.24572619777059582,-0.032024505097175034,0.4641870340045636,0.5446738301985196,0.6249487454565529,0.13835058998081187,0.14400957036533502,0.2528419264768783,0.29986381633000725,0.23560052533300965,0.36693266050679235
imdb_score,-0.1349818302768595,0.029189722454642256,0.21473971217602258,1.0,0.3662210173570793,-0.06549261132115292,0.3478856386042791,0.3250025924958954,0.4824296064793688,0.19231354864275066,0.09359717972632947,0.10237203904135772,0.06554361168147455,0.10680252664856398,0.2811549914717133
duration,-0.13021086918197813,0.06801229254388517,0.24572619777059582,0.3662210173570793,1.0,0.0269192371400862,0.22863129416237413,0.35159495768044324,0.3395924503783251,0.1806444288639126,0.0836322607771399,0.12893467553371624,0.12579705582573766,0.12017942423205467,0.21530327557554468
facenumber_in_poster,0.07009304689925594,-0.021673125630156005,-0.032024505097175034,-0.06549261132115292,0.0269192371400862,1.0,-0.034364675018130286,-0.08097123329525097,-0.032209497929398596,-0.04806654281648699,0.05738653972310753,0.07309793844564594,0.10618931445621264,0.08068715552858789,0.015184977668260897
num_critic_for_reviews,0.4202024703991046,0.104716621168954,0.4641870340045636,0.3478856386042791,0.22863129416237413,-0.034364675018130286,1.0,0.5636843691991508,0.5924727262791546,0.17512770882489131,0.16598635775791637,0.25312524147193277,0.2527822881522315,0.2365325825934614,0.7052255555245379
num_user_for_reviews,0.019469639076853614,0.07037191920103218,0.5446738301985196,0.3250025924958954,0.35159495768044324,-0.08097123329525097,0.5636843691991508,1.0,0.7788812904738266,0.21710260610098506,0.121935339774364,0.18701589940851707,0.20534304110994103,0.17867477064535287,0.3704653784681182
num_voted_users,0.023687119068229914,0.0659267073480547,0.6249487454565529,0.4824296064793688,0.3395924503783251,-0.032209497929398596,0.5924727262791546,0.7788812904738266,1.0,0.2996241607614545,0.17959015943159748,0.24482238161080846,0.2677618720554061,0.24911904584969063,0.5177507048236673
director_facebook_likes,-0.04465561976122338,0.018166908098440637,0.13835058998081187,0.19231354864275066,0.1806444288639126,-0.04806654281648699,0.17512770882489131,0.21710260610098506,0.2996241607614545,1.0,0.08962981438505611,0.11605844531975085,0.11740453784503799,0.11854703123127734,0.16196240593630234
actor_1_facebook_likes,0.09619443265710623,0.01641837423766778,0.14400957036533502,0.09359717972632947,0.0836322607771399,0.05738653972310753,0.16598635775791637,0.121935339774364,0.17959015943159748,0.08962981438505611,1.0,0.39116646644694225,0.25240751447563126,0.9448131289017166,0.13030030240653637
actor_2_facebook_likes,0.12240994219702184,0.035715018286868586,0.2528419264768783,0.10237203904135772,0.12893467553371624,0.07309793844564594,0.25312524147193277,0.18701589940851707,0.24482238161080846,0.11605844531975085,0.39116646644694225,1.0,0.5537552408986841,0.6429914331674222,0.23276875629122704
actor_3_facebook_likes,0.11747544306432409,0.03996639811180655,0.29986381633000725,0.06554361168147455,0.12579705582573766,0.10618931445621264,0.2527822881522315,0.20534304110994103,0.2677618720554061,0.11740453784503799,0.25240751447563126,0.5537552408986841,1.0,0.48979541208794936,0.271507927203363
cast_total_facebook_likes,0.12704474028600599,0.028681516768225036,0.23560052533300965,0.10680252664856398,0.12017942423205467,0.08068715552858789,0.2365325825934614,0.17867477064535287,0.24911904584969063,0.11854703123127734,0.9448131289017166,0.6429914331674222,0.48979541208794936,1.0,0.20556403566884926
movie_facebook_likes,0.3069874429480317,0.05249012260890193,0.36693266050679235,0.2811549914717133,0.21530327557554468,0.015184977668260897,0.7052255555245379,0.3704653784681182,0.5177507048236673,0.16196240593630234,0.13030030240653637,0.23276875629122704,0.271507927203363,0.20556403566884926,1.0
